dominant_topic,total_records,message_split,stages,category
Mobile Authentication Error,16,"1:1, 3:4, 4:3, 6:4, 8:4","1:1|Resolved, 3:1|Resolution,3|Resolved, 4:1|Resolution,2|Update, 6:1|Escalation,1|Resolution,2|Resolved, 8:2|Escalation,1|Resolution,1|Update","1:1|External, 3:4|External, 4:3|External, 6:4|External, 8:4|External"
Monitoring System Alert,13,"1:4, 3:3, 4:4, 6:1, 8:1","1:3|Resolved,1|Update, 3:1|Resolution,2|Update, 4:1|Receive,1|Resolution,2|Resolved, 6:1|Update, 8:1|Update","1:4|External, 3:3|External, 4:4|External, 6:1|External, 8:1|External"
Multi-Currency Statement Need,15,"1:1, 3:3, 4:3, 6:5, 8:3","1:1|Report, 3:2|Resolved,1|Update, 4:2|Resolved,1|Update, 6:1|Categorize,1|Escalation,1|Resolved,2|Update, 8:1|Escalation,2|Update","1:1|External, 3:3|External, 4:3|External, 6:5|External, 8:3|External"
Online Banking Problem,15,"3:4, 4:7, 6:1, 8:3","3:1|Categorize,1|Close,2|Resolved, 4:2|Categorize,2|Close,3|Resolved, 6:1|Escalation, 8:1|Authenticate,2|Resolved","3:4|External, 4:7|External, 6:1|External, 8:3|External"
Open Banking API,12,"1:3, 3:1, 4:2, 6:1, 8:5","1:2|Categorize,1|Resolved, 3:1|Authenticate, 4:1|Escalation,1|Resolution, 6:1|Update, 8:1|Categorize,2|Resolved,2|Update","1:3|External, 3:1|External, 4:2|External, 6:1|External, 8:5|External"
Overdraft Facility Request,9,"1:3, 3:2, 4:2, 6:2","1:1|Authenticate,2|Resolved, 3:1|Resolution,1|Resolved, 4:1|Resolution,1|Update, 6:2|Resolved","1:3|External, 3:2|External, 4:2|External, 6:2|External"
POS Terminal Issue,11,"1:1, 3:1, 4:1, 6:3, 8:5","1:1|Close, 3:1|Resolution, 4:1|Update, 6:1|Close,2|Update, 8:3|Escalation,1|Resolution,1|Resolved","1:1|External, 3:1|External, 4:1|External, 6:3|External, 8:5|External"
PSD2 Compliance Question,8,"1:2, 3:1, 6:3, 8:2","1:2|Update, 3:1|Update, 6:1|Resolved,2|Update, 8:1|Escalation,1|Resolved","1:2|External, 3:1|External, 6:3|External, 8:2|External"
Payment Service Problem,15,"1:2, 3:1, 4:3, 6:3, 8:6","1:1|Resolution,1|Resolved, 3:1|Escalation, 4:1|Categorize,1|Resolution,1|Resolved, 6:1|Escalation,2|Update, 8:1|Close,2|Escalation,2|Resolution,1|Update","1:2|External, 3:1|External, 4:3|External, 6:3|External, 8:6|External"
Performance Management,22,"1:4, 3:3, 4:7, 6:5, 8:3","1:1|Categorize,3|Resolved, 3:2|Resolution,1|Update, 4:3|Resolution,2|Resolved,2|Update, 6:2|Escalation,2|Resolved,1|Update, 8:1|Escalation,1|Resolved,1|Update","1:4|Internal, 3:3|Internal, 4:7|Internal, 6:5|Internal, 8:3|Internal"
Personal Data Inquiry,12,"1:2, 3:4, 4:1, 6:2, 8:3","1:1|Resolution,1|Resolved, 3:2|Resolved,2|Update, 4:1|Resolution, 6:2|Escalation, 8:2|Resolved,1|Update","1:2|External, 3:4|External, 4:1|External, 6:2|External, 8:3|External"
Phone Banking Issue,12,"1:2, 3:3, 4:2, 6:2, 8:3","1:1|Receive,1|Resolved, 3:1|Categorize,1|Escalation,1|Resolution, 4:1|Close,1|Escalation, 6:1|Resolved,1|Update, 8:1|Categorize,2|Escalation","1:2|External, 3:3|External, 4:2|External, 6:2|External, 8:3|External"
Private Banking Service,12,"3:3, 4:2, 6:5, 8:2","3:1|Resolution,1|Resolved,1|Update, 4:2|Update, 6:1|Categorize,1|Escalation,2|Resolved,1|Update, 8:2|Resolved","3:3|External, 4:2|External, 6:5|External, 8:2|External"
Process Exception,22,"1:1, 3:4, 4:6, 6:6, 8:5","1:1|Resolved, 3:2|Resolution,1|Resolved,1|Update, 4:1|Categorize,5|Resolved, 6:1|Categorize,1|Escalation,1|Resolved,3|Update, 8:1|Categorize,1|Close,2|Escalation,1|Resolved","1:1|Internal, 3:4|Internal, 4:6|Internal, 6:6|Internal, 8:5|Internal"
Process Improvement Request,13,"1:1, 3:4, 4:3, 6:4, 8:1","1:1|Resolved, 3:1|Escalation,2|Resolution,1|Resolved, 4:1|Close,1|Resolution,1|Resolved, 6:1|Categorize,1|Escalation,1|Receive,1|Resolved, 8:1|Resolved","1:1|External, 3:4|External, 4:3|External, 6:4|External, 8:1|External"
Processing Delay Complaint,16,"3:4, 4:2, 6:7, 8:3","3:1|Receive,1|Report,1|Resolved,1|Update, 4:1|Categorize,1|Report, 6:1|Categorize,1|Escalation,2|Resolved,3|Update, 8:1|Categorize,1|Resolved,1|Update","3:4|External, 4:2|External, 6:7|External, 8:3|External"
Processing Information Need,11,"1:1, 3:3, 4:3, 6:3, 8:1","1:1|Resolved, 3:1|Escalation,2|Resolved, 4:1|Escalation,2|Resolved, 6:1|Escalation,1|Resolved,1|Update, 8:1|Escalation","1:1|External, 3:3|External, 4:3|External, 6:3|External, 8:1|External"
Quality Assurance Breach,28,"1:1, 3:7, 4:4, 6:6, 8:10","1:1|Resolved, 3:1|Categorize,2|Close,1|Report,1|Resolved,2|Update, 4:1|Report,3|Resolved, 6:3|Escalation,3|Resolved, 8:4|Close,2|Escalation,1|Resolution,1|Resolved,2|Update","1:1|Internal, 3:7|Internal, 4:4|Internal, 6:6|Internal, 8:10|Internal"
Quality Assurance Issue,12,"3:4, 4:5, 6:1, 8:2","3:1|Authenticate,1|Escalation,1|Resolved,1|Update, 4:1|Categorize,1|Resolution,1|Resolved,2|Update, 6:1|Resolved, 8:2|Escalation","3:4|External, 4:5|External, 6:1|External, 8:2|External"
RegTech Alert,14,"1:2, 3:3, 4:4, 6:3, 8:2","1:2|Resolved, 3:1|Categorize,2|Resolved, 4:2|Resolution,1|Resolved,1|Update, 6:1|Resolution,1|Resolved,1|Update, 8:1|Close,1|Escalation","1:2|External, 3:3|External, 4:4|External, 6:3|External, 8:2|External"
Regulatory Documentation Need,15,"1:3, 3:1, 4:2, 6:6, 8:3","1:1|Receive,2|Resolved, 3:1|Categorize, 4:1|Resolved,1|Update, 6:1|Categorize,3|Escalation,1|Resolution,1|Update, 8:1|Resolution,1|Resolved,1|Update","1:3|External, 3:1|External, 4:2|External, 6:6|External, 8:3|External"
Relationship Manager Request,17,"1:1, 3:3, 4:4, 6:6, 8:3","1:1|Resolved, 3:2|Resolution,1|Resolved, 4:2|Resolution,1|Resolved,1|Update, 6:3|Escalation,1|Receive,2|Update, 8:1|Resolution,1|Resolved,1|Update","1:1|External, 3:3|External, 4:4|External, 6:6|External, 8:3|External"
Reporting Discrepancy Alert,9,"1:1, 3:2, 4:3, 6:2, 8:1","1:1|Resolved, 3:1|Categorize,1|Resolved, 4:1|Categorize,2|Resolved, 6:1|Resolution,1|Resolved, 8:1|Escalation","1:1|External, 3:2|External, 4:3|External, 6:2|External, 8:1|External"
Reporting Platform Issue,15,"1:2, 3:3, 6:4, 8:6","1:1|Resolved,1|Update, 3:3|Resolved, 6:1|Escalation,1|Resolution,1|Resolved,1|Update, 8:2|Escalation,1|Resolution,2|Resolved,1|Update","1:2|External, 3:3|External, 6:4|External, 8:6|External"
Right Erasure Demand,10,"1:3, 3:1, 4:2, 6:3, 8:1","1:1|Report,2|Resolved, 3:1|Update, 4:1|Resolution,1|Update, 6:2|Resolved,1|Update, 8:1|Categorize","1:3|External, 3:1|External, 4:2|External, 6:3|External, 8:1|External"
Risk Assessment Update,10,"3:3, 4:3, 6:2, 8:2","3:3|Resolved, 4:1|Resolved,2|Update, 6:1|Resolution,1|Update, 8:1|Resolution,1|Update","3:3|External, 4:3|External, 6:2|External, 8:2|External"
Risk Management Alert,31,"1:2, 3:7, 4:9, 6:8, 8:5","1:1|Resolved,1|Update, 3:2|Categorize,2|Resolution,3|Resolved, 4:1|Categorize,1|Escalation,3|Resolution,3|Resolved,1|Update, 6:1|Authenticate,1|Categorize,1|Resolution,4|Resolved,1|Update, 8:3|Escalation,1|Receive,1|Resolved","1:2|Internal, 3:7|Internal, 4:9|Internal, 6:8|Internal, 8:5|Internal"
SEPA Instant Failure,12,"1:2, 3:3, 4:6, 8:1","1:1|Authenticate,1|Resolved, 3:2|Resolution,1|Resolved, 4:1|Categorize,1|Resolution,2|Resolved,2|Update, 8:1|Close","1:2|External, 3:3|External, 4:6|External, 8:1|External"
SEPA Payment Failure,19,"1:1, 3:4, 4:10, 8:4","1:1|Close, 3:2|Resolution,1|Resolved,1|Update, 4:1|Authenticate,1|Close,2|Escalation,3|Report,1|Resolved,2|Update, 8:1|Categorize,1|Close,1|Escalation,1|Update","1:1|External, 3:4|External, 4:10|External, 8:4|External"
SEPA Payment Status,14,"1:1, 3:1, 4:2, 6:5, 8:5","1:1|Resolved, 3:1|Resolved, 4:1|Close,1|Update, 6:1|Close,2|Resolved,2|Update, 8:1|Categorize,1|Close,2|Escalation,1|Resolution","1:1|External, 3:1|External, 4:2|External, 6:5|External, 8:5|External"
SEPA Processing Error,10,"1:2, 3:3, 4:1, 6:3, 8:1","1:1|Resolution,1|Resolved, 3:1|Close,1|Escalation,1|Resolved, 4:1|Resolved, 6:1|Authenticate,2|Resolution, 8:1|Categorize","1:2|External, 3:3|External, 4:1|External, 6:3|External, 8:1|External"
Salary Leave Issues,23,"1:2, 3:7, 4:6, 6:3, 8:5","1:2|Resolved, 3:1|Categorize,3|Resolution,1|Resolved,2|Update, 4:2|Report,1|Resolved,3|Update, 6:1|Categorize,1|Resolution,1|Update, 8:1|Close,1|Resolution,3|Update","1:2|Internal, 3:7|Internal, 4:6|Internal, 6:3|Internal, 8:5|Internal"
Sanctions Screening Alert,12,"3:3, 4:5, 6:2, 8:2","3:1|Close,2|Resolution, 4:1|Categorize,1|Resolution,2|Resolved,1|Update, 6:1|Resolved,1|Update, 8:2|Escalation","3:3|External, 4:5|External, 6:2|External, 8:2|External"
Satisfaction Survey Result,5,"4:1, 6:3, 8:1","4:1|Resolution, 6:2|Resolved,1|Update, 8:1|Authenticate","4:1|External, 6:3|External, 8:1|External"
Security Incident Alert,8,"3:2, 4:2, 6:1, 8:3","3:1|Escalation,1|Resolved, 4:1|Resolution,1|Resolved, 6:1|Resolution, 8:1|Resolution,1|Resolved,1|Update","3:2|External, 4:2|External, 6:1|External, 8:3|External"
Service Level Breach,10,"1:1, 4:4, 6:3, 8:2","1:1|Resolved, 4:1|Escalation,1|Resolution,1|Resolved,1|Update, 6:1|Categorize,1|Escalation,1|Resolved, 8:1|Escalation,1|Resolved","1:1|External, 4:4|External, 6:3|External, 8:2|External"
Service Quality Complaint,11,"1:2, 3:6, 4:1, 6:1, 8:1","1:1|Categorize,1|Resolved, 3:1|Escalation,1|Resolution,2|Resolved,2|Update, 4:1|Report, 6:1|Categorize, 8:1|Resolution","1:2|External, 3:6|External, 4:1|External, 6:1|External, 8:1|External"
Staff Performance Issue,10,"3:4, 4:2, 6:1, 8:3","3:1|Categorize,1|Report,1|Resolution,1|Resolved, 4:1|Resolved,1|Update, 6:1|Update, 8:1|Categorize,1|Close,1|Resolved","3:4|Internal, 4:2|Internal, 6:1|Internal, 8:3|Internal"
Strong Customer Authentication,15,"1:4, 3:1, 4:4, 6:5, 8:1","1:1|Authenticate,1|Close,2|Resolved, 3:1|Resolved, 4:1|Resolution,3|Update, 6:1|Categorize,2|Escalation,1|Resolution,1|Resolved, 8:1|Resolved","1:4|External, 3:1|External, 4:4|External, 6:5|External, 8:1|External"
System Outage Notification,11,"1:1, 3:2, 4:5, 6:3","1:1|Resolved, 3:1|Categorize,1|Resolved, 4:1|Escalation,1|Receive,1|Resolution,2|Resolved, 6:2|Escalation,1|Resolution","1:1|External, 3:2|External, 4:5|External, 6:3|External"
TARGET2 Settlement Issue,11,"3:1, 4:3, 6:2, 8:5","3:1|Update, 4:2|Resolution,1|Update, 6:2|Escalation, 8:1|Categorize,1|Close,2|Resolved,1|Update","3:1|External, 4:3|External, 6:2|External, 8:5|External"
TPP Access Problem,11,"1:2, 3:2, 4:5, 6:1, 8:1","1:2|Resolved, 3:1|Resolution,1|Resolved, 4:1|Authenticate,1|Resolution,3|Resolved, 6:1|Update, 8:1|Escalation","1:2|External, 3:2|External, 4:5|External, 6:1|External, 8:1|External"
Tax Withholding Problem,10,"1:2, 4:3, 6:3, 8:2","1:1|Close,1|Resolved, 4:1|Categorize,1|Escalation,1|Resolution, 6:1|Resolution,2|Resolved, 8:1|Categorize,1|Update","1:2|External, 4:3|External, 6:3|External, 8:2|External"
Technology Emergency,19,"1:3, 3:2, 4:5, 6:4, 8:5","1:1|Receive,2|Resolved, 3:1|Resolution,1|Update, 4:1|Escalation,4|Resolved, 6:2|Close,1|Resolution,1|Update, 8:2|Escalation,1|Resolution,1|Resolved,1|Update","1:3|Internal, 3:2|Internal, 4:5|Internal, 6:4|Internal, 8:5|Internal"
Third Party Provider,14,"3:6, 4:4, 6:3, 8:1","3:4|Resolution,1|Resolved,1|Update, 4:1|Categorize,1|Resolution,2|Resolved, 6:1|Escalation,2|Resolved, 8:1|Escalation","3:6|External, 4:4|External, 6:3|External, 8:1|External"
Trade Documentation Error,6,"1:2, 3:1, 4:1, 6:1, 8:1","1:1|Report,1|Resolution, 3:1|Resolved, 4:1|Resolved, 6:1|Categorize, 8:1|Resolved","1:2|External, 3:1|External, 4:1|External, 6:1|External, 8:1|External"
Trade Finance Delay,10,"1:1, 3:2, 4:1, 6:4, 8:2","1:1|Resolved, 3:1|Close,1|Resolved, 4:1|Resolved, 6:2|Escalation,1|Resolved,1|Update, 8:1|Receive,1|Resolution","1:1|External, 3:2|External, 4:1|External, 6:4|External, 8:2|External"
Training Need Alert,13,"1:2, 3:6, 4:3, 6:1, 8:1","1:2|Resolved, 3:1|Categorize,1|Receive,2|Resolution,2|Resolved, 4:1|Authenticate,1|Escalation,1|Resolution, 6:1|Update, 8:1|Resolved","1:2|Internal, 3:6|Internal, 4:3|Internal, 6:1|Internal, 8:1|Internal"
Transaction Dispute Report,8,"1:1, 3:3, 6:2, 8:2","1:1|Categorize, 3:1|Close,1|Escalation,1|Resolution, 6:1|Close,1|Resolution, 8:1|Escalation,1|Resolution","1:1|External, 3:3|External, 6:2|External, 8:2|External"
Transaction Processing Error,16,"1:2, 3:2, 4:2, 6:3, 8:7","1:1|Resolution,1|Resolved, 3:1|Resolution,1|Resolved, 4:1|Close,1|Escalation, 6:1|Close,2|Update, 8:1|Categorize,2|Escalation,2|Resolved,2|Update","1:2|External, 3:2|External, 4:2|External, 6:3|External, 8:7|External"
Treasury Service Problem,8,"1:1, 3:3, 4:2, 8:2","1:1|Resolved, 3:1|Close,2|Resolution, 4:1|Categorize,1|Update, 8:1|Resolution,1|Resolved","1:1|External, 3:3|External, 4:2|External, 8:2|External"
Treasury System Error,8,"1:1, 3:3, 4:1, 6:2, 8:1","1:1|Close, 3:3|Resolved, 4:1|Update, 6:2|Escalation, 8:1|Update","1:1|External, 3:3|External, 4:1|External, 6:2|External, 8:1|External"
Two-Factor Authentication Error,5,"1:2, 4:1, 6:2","1:1|Close,1|Resolved, 4:1|Resolved, 6:1|Resolved,1|Update","1:2|External, 4:1|External, 6:2|External"
User Access Approval,30,"1:5, 3:7, 4:7, 6:5, 8:6","1:1|Resolution,2|Resolved,2|Update, 3:1|Categorize,2|Resolved,4|Update, 4:1|Authenticate,2|Resolution,1|Resolved,3|Update, 6:3|Resolution,2|Resolved, 8:1|Escalation,2|Resolution,3|Resolved","1:5|Internal, 3:7|Internal, 4:7|Internal, 6:5|Internal, 8:6|Internal"
Vendor Management,22,"1:4, 3:1, 4:6, 6:5, 8:6","1:1|Close,1|Resolution,2|Resolved, 3:1|Resolution, 4:1|Categorize,1|Report,1|Resolution,3|Resolved, 6:1|Authenticate,2|Escalation,2|Resolved, 8:1|Close,3|Escalation,1|Resolution,1|Update","1:4|Internal, 3:1|Internal, 4:6|Internal, 6:5|Internal, 8:6|Internal"
Wealth Management Issue,10,"1:2, 3:1, 4:3, 6:2, 8:2","1:1|Resolved,1|Update, 3:1|Resolution, 4:2|Resolution,1|Update, 6:2|Resolved, 8:1|Categorize,1|Escalation","1:2|External, 3:1|External, 4:3|External, 6:2|External, 8:2|External"
Wire Transfer Delay,10,"3:3, 4:3, 6:1, 8:3","3:1|Categorize,1|Close,1|Resolution, 4:1|Categorize,1|Resolution,1|Update, 6:1|Resolution, 8:1|Close,1|Escalation,1|Resolution","3:3|External, 4:3|External, 6:1|External, 8:3|External"
